config,seed,t,P,theta,cap,score,adopted
small-4-3,6,450,1.80,0.33,2,0.0,0
small-4-3,6,450,1.80,0.40,1,0.0,0
small-4-3,6,450,1.80,0.40,3,0.0,0
small-4-3,6,450,1.80,0.40,2,0.0,1
small-4-3,7,50,1.80,0.40,2,508.9,0
small-4-3,7,50,1.30,0.40,2,508.9,0
small-4-3,7,50,1.50,0.50,2,508.9,0
small-4-3,7,50,1.50,0.40,2,508.9,1
small-4-3,7,100,1.50,0.33,2,241.5,0
small-4-3,7,100,1.50,0.40,1,241.5,0
small-4-3,7,100,1.50,0.40,3,241.5,0
small-4-3,7,100,1.50,0.40,2,241.5,1
small-4-3,7,150,1.80,0.40,2,115.9,0
small-4-3,7,150,1.30,0.40,2,115.9,0
small-4-3,7,150,1.50,0.50,2,115.9,0
small-4-3,7,150,1.50,0.40,2,115.9,1
small-4-3,7,200,1.50,0.33,2,80.3,0
small-4-3,7,200,1.50,0.40,1,80.3,0
small-4-3,7,200,1.50,0.40,3,80.3,0
small-4-3,7,200,1.50,0.40,2,80.3,1
small-4-3,7,250,1.80,0.40,2,32.0,0
small-4-3,7,250,1.30,0.40,2,32.0,0
small-4-3,7,250,1.50,0.50,2,32.0,0
small-4-3,7,250,1.50,0.40,2,32.0,1
small-4-3,7,300,1.50,0.33,2,75.7,0
small-4-3,7,300,1.50,0.40,1,75.7,0
small-4-3,7,300,1.50,0.40,3,75.7,0
small-4-3,7,300,1.50,0.40,2,75.7,1
small-4-3,7,350,1.80,0.40,2,72.4,0
small-4-3,7,350,1.30,0.40,2,72.4,0
small-4-3,7,350,1.50,0.50,2,72.4,0
small-4-3,7,350,1.50,0.40,2,72.4,1
small-4-3,7,400,1.50,0.33,2,14.1,0
small-4-3,7,400,1.50,0.40,1,14.1,0
small-4-3,7,400,1.50,0.40,3,14.1,0
small-4-3,7,400,1.50,0.40,2,14.1,1
small-4-3,7,450,1.80,0.40,2,3.4,0
small-4-3,7,450,1.30,0.40,2,3.4,0
small-4-3,7,450,1.50,0.50,2,3.4,0
small-4-3,7,450,1.50,0.40,2,3.4,1
small-4-3,8,50,1.80,0.40,2,173.2,0
small-4-3,8,50,1.30,0.40,2,173.2,0
small-4-3,8,50,1.50,0.50,2,173.2,0
small-4-3,8,50,1.50,0.40,2,173.2,1
small-4-3,8,100,1.50,0.33,2,204.9,0
